address,description,price,building_total_floors,num_bathrooms,lat,num_rooms,area,condition,floor,lng,price_sqm,building_type,ceiling_height
"Yerevan, Davtashen, Davtashen 4 district","3 bedrooms apartment for sale in new construction in Davtashen 4 district, Davtashen, Yerevan, 90228","102,000",15,1,40.22548810,3,85 sq. m.,newly repaired,8,44.49465770,"1,200",monolit,3 m
"Yerevan, Arabkir, Gulakyan St","4 bedrooms apartment for sale in Gulakyan St, Arabkir, Yerevan, 91068","80,000",5,1,40.19811250,4,105 sq. m.,good,2,44.50475950,762,stone,2.8 m
"Yerevan, Center, Mashtots Ave","2 bedrooms apartment for sale in Mashtots Ave, Center, Yerevan, 92884","89,000",5,1,40.19022140,2,40 sq. m.,newly repaired,2,44.51832900,"2,225",stone,2.6 m
"Yerevan, Arabkir, Aghbyur Serob St","3 bedrooms apartment for sale in Aghbyur Serob St, Arabkir, Yerevan, 89825","133,000",5,1,40.18515899,3,92 sq. m.,newly repaired,5,44.49479286,"1,446",stone,2.8 m
"Yerevan, Center, Zakyan dead end","5 bedrooms apartment for sale in Zakyan dead end, Center, Yerevan, 90146","125,000",5,1,40.17868390,5,100 sq. m.,zero condition,3,44.50962520,"1,250",stone,2.8 m
"Yerevan, Arabkir, Sundukyan St","3 bedrooms apartment for sale in Sundukyan St, Arabkir, Yerevan, 89562","87,000",12,1,40.19740960,3,75 sq. m.,newly repaired,10,44.49457260,"1,160",panel,2.8 m
"Yerevan, Center, Vardanants St","4 bedrooms apartment for sale in Vardanants St, Center, Yerevan, 89510","160,000",11,1,40.17264170,4,117 sq. m.,newly repaired,10,44.52126750,"1,368",monolit,2.8 m
"Yerevan, Center, Nalbandyan St","3 bedrooms apartment for sale in Nalbandyan St, Center, Yerevan, 91120","167,000",5,1,40.18017970,3,100 sq. m.,good,5,44.51825040,"1,670",stone,2.8 m
"Yerevan, Center, D. Demirchyan St","3 bedrooms apartment for sale in D. Demirchyan St, Center, Yerevan, 89313","170,000",5,1,40.18774640,3,95 sq. m.,newly repaired,5,44.50774400,"1,789",stone,3 m
"Yerevan, Arabkir, Keri St","2 bedrooms apartment for sale in new construction in Keri St, Arabkir, Yerevan, 89350","85,000",18,1,40.19964770,2,62 sq. m.,newly repaired,11,44.48667820,"1,371",monolit,3 m
"Yerevan, Davtashen, Petrosyan St","4 bedrooms apartment for sale in Petrosyan St, Davtashen, Yerevan, 81657","95,000",11,1,40.21913470,4,98 sq. m.,newly repaired,4,44.49009230,969,monolit,3 m
"Yerevan, Arabkir, Baghramyan av(Arabkir)","3 bedrooms apartment for sale in Baghramyan av(Arabkir), Arabkir, Yerevan, 85943","120,000",9,1,40.18333300,3,86 sq. m.,newly repaired,1,44.51666700,"1,395",monolit,3 m
"Yerevan, Davtashen, Davtashen 2 district","4 bedrooms apartment for sale in new construction in Davtashen 2 district, Davtashen, Yerevan, 85685","105,000",6,3,40.22548810,4,107 sq. m.,newly repaired,2,44.49465770,981,monolit,3.2 m
"Yerevan, Center, E. Qochar St","3 bedrooms apartment for sale in E. Qochar St, Center, Yerevan, 63347","85,000",16,1,40.16976580,3,98 sq. m.,newly repaired,15,44.51714200,867,monolit,3.2 m
"Yerevan, Davtashen, Davtashen 4 district","3 bedrooms apartment for sale in Davtashen 4 district, Davtashen, Yerevan, 54102","92,000",9,1,40.22164830,3,79 sq. m.,good,7,44.49861900,"1,165",panel,2.8 m
"Yerevan, Arabkir, Mamikoniants St","4 bedrooms apartment for sale in Mamikoniants St, Arabkir, Yerevan, 63385","82,000",5,1,40.21012300,4,111 sq. m.,good,2,44.50919290,739,stone,3.2 m
"Yerevan, Davtashen, Mikoyan St","2 bedrooms apartment for sale in new construction in Mikoyan St, Davtashen, Yerevan, 86485","133,000",11,1,40.18333300,2,78 sq. m.,newly repaired,9,44.51666700,"1,705",monolit,3 m
"Yerevan, Center, Hanrapetutyan St","3 bedrooms apartment for sale in Hanrapetutyan St, Center, Yerevan, 65266","155,000",4,1,40.17829600,3,95 sq. m.,newly repaired,4,44.51916770,"1,632",stone,2.8 m
"Yerevan, Center, Antarayin St","3 bedrooms apartment for sale in new construction in Antarayin St, Center, Yerevan, 90324","159,000",4,1,40.19349430,3,111 sq. m.,zero condition,4,44.50991460,"1,432",monolit,3 m
"Yerevan, Arabkir, Hr.Kochar St","3 bedrooms apartment for sale in Hr.Kochar St, Arabkir, Yerevan, 73631","93,000",10,1,40.19845120,3,92 sq. m.,good,3,44.49390810,"1,011",panel,3 m
"Yerevan, Arabkir, Hr.Kochar St","3 bedrooms apartment for sale in Hr.Kochar St, Arabkir, Yerevan, 35518","84,000",5,1,40.20120470,3,97 sq. m.,newly repaired,5,44.50143760,866,stone,2.8 m
"Yerevan, Davtashen, Davtashen 2 district","4 bedrooms apartment for sale in Davtashen 2 district, Davtashen, Yerevan, 89269","102,000",10,1,40.22548810,4,108 sq. m.,newly repaired,6,44.49465770,944,panel,2.8 m
"Yerevan, Center, Tigran Mets Ave","2 bedrooms apartment for sale in Tigran Mets Ave, Center, Yerevan, 88961","82,000",14,1,40.17645100,2,72 sq. m.,zero condition,3,44.51340970,"1,139",panel,2.8 m
"Yerevan, Arabkir, Komitas Ave","2 bedrooms apartment for sale in Komitas Ave, Arabkir, Yerevan, 29648","82,000",5,1,40.20579990,2,60 sq. m.,newly repaired,5,44.50622590,"1,367",stone,3 m
"Yerevan, Davtashen, Davtashen 2 district","3 bedrooms apartment for sale in Davtashen 2 district, Davtashen, Yerevan, 79276","87,000",9,1,40.22548810,3,98 sq. m.,newly repaired,6,44.49465770,888,panel,2.8 m
"Yerevan, Davtashen, Petrosyan St","3 bedrooms apartment for sale in new construction in Petrosyan St, Davtashen, Yerevan, 87803","120,000",7,1,40.21832920,3,64 sq. m.,newly repaired,6,44.48950090,"1,875",monolit,3 m
"Yerevan, Arabkir, Orbeli Yeghbayrner St","4 bedrooms apartment for sale in Orbeli Yeghbayrner St, Arabkir, Yerevan, 95549","130,000",5,1,40.19335760,4,160 sq. m.,newly repaired,4,44.49277590,813,stone,3 m
"Yerevan, Arabkir, Komitas Ave","3 bedrooms apartment for sale in Komitas Ave, Arabkir, Yerevan, 93243","90,000",9,1,40.20426780,3,70 sq. m.,newly repaired,4,44.50517960,"1,286",panel,2.8 m
"Yerevan, Davtashen, Davtashen 1 district","3 bedrooms apartment for sale in Davtashen 1 district, Davtashen, Yerevan, 81909","90,000",9,1,40.21889400,3,73 sq. m.,newly repaired,8,44.48312230,"1,233",panel,2.8 m
"Yerevan, Center, Zakyan St","4 bedrooms apartment for sale in Zakyan St, Center, Yerevan, 57585","130,000",5,1,40.17924610,4,108 sq. m.,newly repaired,2,44.50953740,"1,204",stone,2.6 m
"Yerevan, Davtashen, Petrosyan St","3 bedrooms apartment for sale in Petrosyan St, Davtashen, Yerevan, 79189","84,000",14,1,40.22254130,3,80 sq. m.,newly repaired,5,44.49527140,"1,050",panel,2.8 m
"Yerevan, Arabkir, Komitas Ave","4 bedrooms apartment for sale in Komitas Ave, Arabkir, Yerevan, 64972","86,000",10,1,40.20579990,4,109 sq. m.,good,3,44.50622590,789,panel,2.8 m
"Yerevan, Davtashen, Davtashen 4 district","4 bedrooms apartment for sale in new construction in Davtashen 4 district, Davtashen, Yerevan, 87618","95,000",16,2,40.22548810,4,82 sq. m.,newly repaired,12,44.49465770,"1,159",monolit,3 m
"Yerevan, Arabkir, Mamikoniants St","4 bedrooms apartment for sale in Mamikoniants St, Arabkir, Yerevan, 84549","120,000",5,1,40.20792610,4,85 sq. m.,newly repaired,2,44.52744310,"1,412",stone,2.8 m
"Yerevan, Center, Kajaznuni St","3 bedrooms apartment for sale in Kajaznuni St, Center, Yerevan, 77059","85,000",9,1,40.16882020,3,80 sq. m.,newly repaired,9,44.52045330,"1,063",panel,2.8 m
"Yerevan, Arabkir, A. Khachatrian St","3 bedrooms apartment for sale in A. Khachatrian St, Arabkir, Yerevan, 96145","78,000",12,1,40.20282790,3,87 sq. m.,newly repaired,10,44.49279730,897,panel,2.8 m
"Yerevan, Davtashen, Davtashen 4 district","3 bedrooms apartment for sale in Davtashen 4 district, Davtashen, Yerevan, 68227","110,000",9,1,40.22548810,3,105 sq. m.,newly repaired,4,44.49465770,"1,048",panel,2.8 m
"Yerevan, Davtashen, Davtashen 2 district","4 bedrooms apartment for sale in Davtashen 2 district, Davtashen, Yerevan, 79138","87,000",9,1,40.21890220,4,100 sq. m.,newly repaired,6,44.48309550,870,panel,2.8 m
"Yerevan, Davtashen, Davtashen 1 district","3 bedrooms apartment for sale in Davtashen 1 district, Davtashen, Yerevan, 62042","87,000",9,1,40.22548810,3,80 sq. m.,newly repaired,5,44.49465770,"1,088",panel,2.8 m
"Yerevan, Arabkir, Hr.Kochar St","3 bedrooms apartment for sale in Hr.Kochar St, Arabkir, Yerevan, 72254","92,000",5,1,40.20120470,3,83 sq. m.,good,4,44.50143760,"1,108",stone,2.8 m
"Yerevan, Arabkir, Komitas Ave","1 bedrooms apartment for sale in Komitas Ave, Arabkir, Yerevan, 81892","79,000",5,1,40.20579990,1,38 sq. m.,newly repaired,2,44.50622590,"2,079",stone,2.8 m
"Yerevan, Davtashen, Davtashen 3 district","3 bedrooms apartment for sale in Davtashen 3 district, Davtashen, Yerevan, 68029","90,000",3,1,40.22548810,3,189 sq. m.,newly repaired,2,44.49465770,476,stone,2.8 m
"Yerevan, Center, Bryusov St","3 bedrooms apartment for sale in Bryusov St, Center, Yerevan, 89002","155,000",4,1,40.16766150,3,94 sq. m.,newly repaired,1,44.50295260,"1,649",stone,3 m
"Yerevan, Arabkir, Aghbyur Serob St","3 bedrooms apartment for sale in Aghbyur Serob St, Arabkir, Yerevan, 84457","97,000",16,1,40.19737290,3,100 sq. m.,newly repaired,3,44.50438180,970,panel,2.8 m
"Yerevan, Arabkir, Artsruni St","4 bedrooms apartment for sale in Artsruni St, Arabkir, Yerevan, 93340","85,000",5,2,40.20167610,4,77 sq. m.,newly repaired,5,44.49890970,"1,104",stone,2.8 m
"Yerevan, Arabkir, Adonts St","2 bedrooms apartment for sale in Adonts St, Arabkir, Yerevan, 96356","81,000",10,1,40.21069340,2,55 sq. m.,newly repaired,3,44.52777660,"1,473",monolit,3 m
"Yerevan, Davtashen, Mikoyan St","2 bedrooms apartment for sale in new construction in Mikoyan St, Davtashen, Yerevan, 90608","77,000",16,1,40.22383240,2,67 sq. m.,zero condition,13,44.50563380,"1,149",monolit,3 m
"Yerevan, Arabkir, Komitas Ave","2 bedrooms apartment for sale in Komitas Ave, Arabkir, Yerevan, 68206","85,000",5,1,40.20188020,2,65 sq. m.,good,5,44.49574470,"1,308",stone,2.8 m
"Yerevan, Davtashen, Davtashen 4 district","4 bedrooms apartment for sale in Davtashen 4 district, Davtashen, Yerevan, 87471","113,000",9,2,40.22548810,4,88 sq. m.,newly repaired,8,44.49465770,"1,284",panel,2.8 m
"Yerevan, Arabkir, V.Vagharshyan St","3 bedrooms apartment for sale in V.Vagharshyan St, Arabkir, Yerevan, 89402","80,000",16,1,40.19733350,3,83 sq. m.,good,3,44.50215840,964,panel,2.8 m
"Yerevan, Davtashen, Mikoyan St","3 bedrooms apartment for sale in Mikoyan St, Davtashen, Yerevan, 89826","120,000",11,1,40.22383240,3,77 sq. m.,newly repaired,7,44.50563380,"1,558",monolit,3 m
